Date,Time,Temp,NumWires,10deg(1mm),10deg(0.01mm),90deg(1mm),90deg(0.01mm),180deg(1mm),180deg(0.01mm),270deg(1mm),270deg(0.01mm),10deg_um,90deg_um,180deg_um,270deg_um,d10deg_um,d90deg_um,d180deg_um,d270deg_um
2015/5/26,12:30,21.4,0,2,0.04,3,-0.01,3,0.065,3,-0.02,2040,2990,3065,2980,0,0,0,0
2015/5/26,17:10,21.7,50,2,-0.01,3,0.02,3,0.16,3,-0.01,2040,3020,3160,2990,-50,30,95,10
2015/5/27,8:55,20.9,0,2,0.02,3,-0.02,3,0.06,3,-0.04,2040,2980,3060,2960,-20,-10,-5,-20
2015/5/27,12:56,22.1,31,2,0.01,3,-0.01,3,0.07,3,0.06,2040,2990,3070,3060,-30,0,5,80
2015/5/27,17:17,22.1,107,2,0.05,3,0.02,3,0.13,3,0.11,2040,3020,3130,3110,10,30,65,130
2015/5/28,9:07,21.5,0,2,-0.07,3,-0.01,3,0.05,3,0.07,2040,2990,3050,3070,-110,0,-15,90
2015/5/28,12:55,22.2,21,2,0.05,3,0,3,0.04,3,0.08,2040,3000,3040,3080,10,10,-25,100
2015/5/28,17:16,22.1,101,2,0.08,3,0.04,3,0.01,3,0.13,2040,3040,3010,3130,40,50,-55,150
2015/5/29,8:58,21.5,0,2,0.05,2,-0.02,3,0.02,3,0.06,2040,1980,3020,3060,10,-1010,-45,80
2015/5/29,12:56,22.2,53,2,0.02,2,0.02,3,0.08,3,0.05,2040,2020,3080,3050,-20,-970,15,70
2015/5/29,17:12,21.8,79,2,0.02,2,0,3,0.1,3,0.08,2040,2000,3100,3080,-20,-990,35,100
2015/6/1,8:56,21.3,0,2,0.01,2,-0.04,3,0.04,3,0.05,2040,1960,3040,3050,-30,-1030,-25,70
2015/6/1,12:52,22,29,2,0.03,2,0,3,0.08,3,0.07,2040,2000,3080,3070,-10,-990,15,90
2015/6/1,17:27,22.1,77,2,0.08,2,0.01,3,0.11,3,0.09,2040,2010,3110,3090,40,-980,45,110
2015/6/2,8:52,20.9,0,2,0.03,2,-0.02,3,0.09,3,0.09,2040,1980,3090,3090,-10,-1010,25,110
2015/6/2,12:53,21.2,44,2,-0.01,2,-0.01,3,0.11,3,0.09,2040,1990,3110,3090,-50,-1000,45,110
2015/6/2,17:17,21.5,115,2,0.02,2,0.03,3,0.08,3,0.1,2040,2030,3080,3100,-20,-960,15,120
2015/6/3,9:00,20.9,0,2,0.01,2,0,3,0.02,3,0.05,2040,2000,3020,3050,-30,-990,-45,70
2015/6/3,12:59,21.2,46,2,0.03,2,0.03,3,0.01,3,0.08,2040,2030,3010,3080,-10,-960,-55,100
2015/6/3,17:16,21.5,103,2,0,2,0.04,3,0.04,3,0.08,2040,2040,3040,3080,-40,-950,-25,100
2015/6/4,8:57,20.8,0,2,0.01,2,-0.01,3,-0.02,3,0.07,,,,,,,,
2015/6/4,12:55,21.3,50,2,0.01,2,-0.01,3,0.14,3,0.07,,,,,,,,
2015/6/4,17:12,21.6,148,2,-0.02,2,-0.01,3,0.17,3,0.1,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
