Date,Time,Temp,NumWires,10deg_1mm,10deg_10um,90deg_1mm,90deg_10um,180deg_1mm,180deg_10um,270deg_1mm,270deg_10um
2015/5/26,12:30,21.4,0,2,0.04,3,-0.01,4,0.065,3,-0.02
2015/5/26,17:10,21.7,50,2,-0.01,3,0.02,4,0.16,3,-0.01
2015/5/27,8:55,20.9,0,2,0.02,3,-0.02,4,0.06,3,-0.04
2015/5/27,12:56,22.1,31,2,0.01,3,-0.01,4,0.07,3,0.06
2015/5/27,17:17,22.1,107,2,0.05,3,0.02,4,0.13,3,0.11
2015/5/28,9:07,21.5,0,2,-0.07,3,-0.01,4,0.05,3,0.07
2015/5/28,12:55,22.2,21,2,0.05,3,0,4,0.04,3,0.08
2015/5/28,17:16,22.1,101,2,0.08,3,0.04,4,0.01,3,0.13
2015/5/29,8:58,21.5,0,2,0.05,3,-0.02,4,0.02,3,0.06
2015/5/29,12:56,22.2,53,2,0.02,3,0.02,4,0.08,3,0.05
2015/5/29,17:12,21.8,79,2,0.02,3,0,4,0.1,3,0.08
2015/6/1,8:56,21.3,0,2,0.01,3,-0.04,4,0.04,3,0.05
2015/6/1,12:52,22,29,2,0.03,3,0,4,0.08,3,0.07
2015/6/1,17:27,22.1,77,2,0.08,3,0.01,4,0.11,3,0.09
2015/6/2,8:52,20.9,0,2,0.03,3,-0.02,4,0.09,3,0.09
2015/6/2,12:53,21.2,44,2,-0.01,3,-0.01,4,0.11,3,0.09
2015/6/2,17:17,21.5,115,2,0.02,3,0.03,4,0.08,3,0.1
2015/6/3,9:00,20.9,0,2,0.01,3,0,4,0.02,3,0.05
2015/6/3,12:59,21.2,46,2,0.03,3,0.03,4,0.01,3,0.08
2015/6/3,17:16,21.5,103,2,0,3,0.04,4,0.04,3,0.08
2015/6/4,8:57,20.8,0,2,0.01,3,-0.01,4,-0.02,3,0.07
2015/6/4,12:55,21.3,50,2,0.01,3,-0.01,4,0.14,3,0.07
2015/6/4,17:12,21.6,148,2,-0.02,3,-0.01,4,0.17,3,0.1
2015/6/5,9:00,20.9,0,2,-0.01,3,-0.04,4,0.09,3,0.07
2015/6/5,12:55,21.2,50,2,-0.01,3,0.01,4,0.13,3,0.08
2015/6/5,17:10,21.5,129,2,-0.01,3,0.02,4,0.12,3,0.1
2015/6/8,9:19,20.7,0,2,-0.04,3,-0.01,4,0.04,3,0.07
2015/6/8,12:55,21,30,2,0.02,3,0,4,0.15,3,0.06
2015/6/8,17:21,21.4,133,2,0.02,3,0,4,0.09,3,0.1
2015/6/9,8:55,20.6,0,2,-0.02,3,-0.02,4,0.02,3,0.05
2015/6/9,12:56,21.2,28,2,0.01,3,0.02,4,-0.01,3,0.05
2015/6/9,17:22,21.4,128,2,0.02,3,0.04,4,0.06,3,0.08
2015/6/10,8:56,20.8,0,2,-0.01,3,0.01,4,0.01,3,0.04
2015/6/10,12:53,21.2,52,2,-0.02,3,0.01,4,0.09,3,0.04
2015/6/10,17:41,21.7,173,2,0,3,0.02,4,0.08,3,0.09
2015/6/11,8:53,20.8,0,2,0,3,-0.01,4,0.095,3,0.05
2015/6/11,12:56,21.2,30,2,0.01,3,0,4,0.07,3,0.07
2015/6/11,17:18,21.6,140,2,0.01,3,0.01,4,0.1,3,0.09
2015/6/12,8:58,20.9,0,2,0.01,3,-0.03,4,0.03,3,0.04
2015/6/12,12:53,21.4,40,2,-0.01,3,0.02,4,0.07,3,0.08
2015/6/12,17:51,21.5,117,2,0.01,3,0.04,4,0.08,3,0.08
2015/6/15,8:54,20.3,0,2,0,3,0,4,0.07,3,0.04
2015/6/15,12:54,21,48,2,-0.02,3,-0.01,4,0.09,3,0.06
2015/6/15,17:33,21.5,118,2,0.03,3,0,4,0.09,3,0.07
2015/6/16,8:56,20.9,0,2,0,3,-0.02,4,0.08,3,0.03
2015/6/16,12:57,21.2,64,2,-0.04,3,0.01,4,0.11,3,0.06
2015/6/16,17:26,21.7,162,2,0,3,0.05,4,0.1,3,0.09
